arm_id,arch,loss,params,seconds,epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,checkpoint
arch_baseline_bn,baseline_bn,bce_dice,1944161,183.0843575000763,3,0.0009045084971874736,0.22324727049671558,0.2709937488546177,0.5820628153479094,0.41049971863931767,0.6296158402436961,0.5411884500690959,0.5820628153479094,0.9944526890618921,0.9866901008450255,0.5365126026943532,D:\LANDSLIDE\LandslideGuard\checkpoints_v2\v2_cpu_20260910_092239\arch_baseline_bn\best_model.pth
arch_baseline_gn,baseline_gn,bce_dice,1944161,206.78173804283142,8,0.0002061073738537635,0.17371305112588967,0.3181538799587561,0.5461886118022206,0.375694272473202,0.48937812492799704,0.6179213033675176,0.5461886118022206,0.9887657195143125,0.9824146504304847,0.4996308020643595,D:\LANDSLIDE\LandslideGuard\checkpoints_v2\v2_cpu_20260910_092239\arch_baseline_gn\best_model.pth
arch_residual_bn,residual_bn,bce_dice,2031425,183.86532187461853,6,0.0005,0.18019786880310662,0.27082581325453153,0.5776282543056426,0.40610217128832415,0.5595478346241954,0.5969161393555895,0.5776282543056426,0.9918128625325859,0.9850498744419642,0.5831258177238338,D:\LANDSLIDE\LandslideGuard\checkpoints_v2\v2_cpu_20260910_092239\arch_residual_bn\best_model.pth
