epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.39101118496544396,0.384725001150248,0.5099659534713494,0.3422512087287018,0.38116937341626356,0.7702232889664703,0.5099659534713493,0.9782114826751087,0.9746494838169643,0.5768089478600158,163.45727062225342
2,0.0009890738003669028,0.27112585620939433,0.3226814718878999,0.4336957415234988,0.27689112072346794,0.30864440804463217,0.7291002982035057,0.4336957415234988,0.9715431009027117,0.9673910335618623,0.5763654581527088,163.27982139587402
3,0.0009567727288213003,0.1918144690151841,0.31615823750593225,0.5061261930242208,0.33880116959064327,0.40512923612143037,0.6742017601280094,0.5061261930242208,0.9827505142148892,0.9774663185586735,0.5703885189566167,162.62568044662476
4,0.0009045084971874737,0.18856117839278533,0.30434880524265523,0.5085336470410609,0.3409621987329278,0.44802358835657435,0.587940941159357,0.5085336470410609,0.987378511583934,0.9805377570950256,0.507648788754073,162.52885603904724
5,0.0008345653031794292,0.18037619847911193,0.28381377379505,0.5558448447959348,0.3848927470105465,0.5343138570546714,0.5791839406502292,0.5558448447959348,0.9912042957061948,0.9841480488679847,0.5657497665193594,162.72654604911804
6,0.00075,0.17701369829556288,0.32182355170347254,0.4397562155973229,0.28185096456941117,0.3014011886912531,0.8129173030765874,0.43975621559732286,0.9671688208986056,0.9645271145567602,0.5493868702423516,158.82651329040527
7,0.0006545084971874737,0.17799338801938253,0.31208234137418317,0.4524177260306523,0.29233840012283124,0.31936548633866685,0.7755036729943996,0.4524177260306522,0.9712016850280141,0.9678501674107143,0.5421934188137991,158.48923110961914
8,0.0005522642316338268,0.17536598554988633,0.31104234140746445,0.4596304600997723,0.2983897358354303,0.32771302337974584,0.7693068586806313,0.4596304600997723,0.9725009409847326,0.9690210459183674,0.5944209068292462,160.2221324443817
9,0.0004477357683661734,0.16998648874522448,0.26513356481279643,0.5919367207248146,0.4203907093078374,0.578199775284016,0.6063422794385046,0.5919367207248146,0.99229266969725,0.9856828962053571,0.5770870017310897,160.41102576255798
10,0.0003454915028125264,0.1673335301959223,0.28755253966973754,0.5153078993192971,0.34708064997654287,0.4043224444168426,0.7102771110626227,0.5153078993192971,0.9817665673510615,0.9771170479910715,0.5281478507435835,159.96719622612
11,0.0002500000000000001,0.16561766785833515,0.24796409412306183,0.600252504231527,0.4288291324300483,0.573722666454496,0.6293548621717943,0.6002525042315269,0.9918521494372468,0.9856440330038265,0.592696018136338,160.9328637123108
12,0.00016543469682057103,0.15976349927463415,0.26199315445763727,0.561182006545187,0.3900298780651934,0.5044210819466686,0.6323368972288894,0.561182006545187,0.9891750637144882,0.9830638651945153,0.5531957483635271,188.26140213012695
13,9.549150281252631e-05,0.16186477515721956,0.2607193693822744,0.5568305842454139,0.38583868128487564,0.48327089799850154,0.6568041312095425,0.5568305842454139,0.9877632697857089,0.9820952746332908,0.5577012233513876,198.1836211681366
14,4.322727117869951e-05,0.1602885818741892,0.2521059352524426,0.5928052761308373,0.42126740960262077,0.5468321759970504,0.6472179794894174,0.5928052761308374,0.9906542790409433,0.9847726004464286,0.5774725936313531,207.54405188560486
15,1.0926199633097156e-05,0.15988172974342357,0.2767440876182245,0.5305388073254784,0.36104308842607874,0.4332590231589808,0.6841515746599752,0.5305388073254783,0.9844063938803675,0.9792642398756377,0.5541606674860341,202.84528636932373
