epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.4217320822295028,0.42420176182474406,0.4660583477589023,0.3038305577516513,0.351034599603692,0.6931995054185759,0.46605834775890226,0.9776700837824925,0.9727982501594388,0.586654637330339,161.26515817642212
2,0.0009890738003669028,0.33670687273823297,0.4069224661710311,0.37971622362032154,0.2343516791044776,0.28114792510369235,0.5847116153902102,0.3797162236203216,0.9739502475708653,0.967284159757653,0.48978229677228635,163.29279327392578
3,0.0009567727288213003,0.2265698128556634,0.3765897591503299,0.4651194659514697,0.30303300851997345,0.3504768367249098,0.6912211797221616,0.46511946595146964,0.9776792084829299,0.9727733378507653,0.5876702293073023,157.7169153690338
4,0.0009045084971874737,0.20720376170412683,0.33681015700710065,0.48117125710424863,0.31680415540916257,0.3653682201247897,0.7044439595606953,0.48117125710424863,0.978679630500325,0.973983079559949,0.5725976711719161,155.28499269485474
5,0.0008345653031794292,0.20303663256827956,0.3210460728528548,0.5075090626618333,0.34004163775156143,0.3820775189236507,0.7555458578805732,0.5075090626618333,0.9787087788489444,0.9748868981186225,0.6412680711689173,155.53177547454834
6,0.00075,0.2011135251514533,0.28388234814819024,0.5598880223955209,0.38878089419605666,0.49075991104976613,0.6516837588188232,0.5598880223955209,0.9882172236324672,0.982453762755102,0.6058203142815884,160.97691202163696
7,0.0006545084971874737,0.19365255964935124,0.33427369253976,0.49203206774212516,0.32628815057453336,0.44662301615543376,0.5477198341697578,0.49203206774212516,0.988175148624895,0.9806319256218112,0.4804687189086348,160.7721507549286
8,0.0005522642316338268,0.19054382808053452,0.3099832297587881,0.5320831778413567,0.3624750188903091,0.41330692240178435,0.7466579387591825,0.5320831778413566,0.9815321132426017,0.9775096659757653,0.6163473090074013,155.6535952091217
9,0.0004477357683661734,0.18534681547916573,0.3223734287583098,0.5147886938931715,0.346609732754178,0.4419550660241567,0.6163648265328387,0.5147886938931715,0.9864391743666887,0.9801012934470663,0.4865271970753037,156.63625931739807
10,0.0003454915028125264,0.18368865612714846,0.30580713031243306,0.5240248563176474,0.35503636938646427,0.4375,0.6532111426285548,0.5240248563176474,0.9853662616735968,0.9796777841996174,0.5320729076387725,157.4632830619812
11,0.0002500000000000001,0.18190687817942314,0.28719644339717165,0.5489707034309885,0.37833192253873926,0.4822305405702962,0.6371517928576623,0.5489707034309886,0.9880798461981048,0.9820698640784439,0.5600971177856439,155.24462819099426
12,0.00016543469682057103,0.17446542782088775,0.2928600803929932,0.5387509753489582,0.36869210261927554,0.4469742015920207,0.6779547603462069,0.5387509753489582,0.9853842576105705,0.9801192303093113,0.5988854883798237,161.57170033454895
13,9.549150281252631e-05,0.17531099169465797,0.3233697703906468,0.5258928970542219,0.35675351947175704,0.42694355987407345,0.6845443304967634,0.5258928970542219,0.9839902061548639,0.9788619060905612,0.5669543445535388,168.10228991508484
14,4.322727117869951e-05,0.17667356307222895,0.2955217090188241,0.5478335303468798,0.37725256834895865,0.4567611131610122,0.6842679467597643,0.5478335303468798,0.985819708592553,0.9806553431919642,0.585998701219029,165.58895993232727
