epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.3572375645062333,0.34458524633427057,0.4513544359816458,0.29145108891830107,0.4840143870516535,0.42282347807113246,0.4513544359816458,0.9921459140985494,0.9823957170758929,0.4101794579494654,160.58414101600647
2,0.0009755282581475768,0.21690661993410187,0.33691165289100333,0.48296284751310176,0.3183592746699543,0.43622861969451676,0.5409120663320969,0.4829628475131017,0.9878192853078382,0.9801655672034438,0.4151405109543526,180.66017174720764
3,0.0009045084971874736,0.2004795858156496,0.29562581777572633,0.5079008942594314,0.34039353840866127,0.56541364114824,0.4610080733144229,0.5079008942594314,0.9938258728346262,0.984700852997449,0.4643800377553271,204.69514417648315
4,0.0007938926261462366,0.18767707616632065,0.3346624235717618,0.5119682171825857,0.3440573132203088,0.46985901798736024,0.5623681722307077,0.5119682171825857,0.9889439046367419,0.9816383828922194,0.4559344517034315,223.73208451271057
5,0.0006545084971874737,0.1831759514974023,0.3635977923870087,0.4689054325523435,0.3062550429749167,0.3717054560628124,0.6349407229616699,0.4689054325523435,0.9812994333814492,0.9753677056760204,0.4458704011025632,202.2712426185608
6,0.0005,0.18716528138602273,0.3416646502455887,0.4992932502572569,0.33270540719754055,0.4083758011857086,0.6422867117608554,0.49929325025725696,0.9837866746423307,0.977938157684949,0.47889892898788894,215.73383045196533
7,0.00034549150281252633,0.17889456533309378,0.32264176448997184,0.5143624912526242,0.34622341467826295,0.4180833636694576,0.6682522365262928,0.5143624912526241,0.9837932647037577,0.9783893195950255,0.48772779571506303,197.14528489112854
8,0.0002061073738537635,0.17371305112588967,0.3181538799587561,0.5461886118022206,0.375694272473202,0.48937812492799704,0.6179213033675176,0.5461886118022206,0.9887657195143125,0.9824146504304847,0.4996308020643595,206.78173804283142
9,9.549150281252634e-05,0.1756330355119316,0.315934000939739,0.5355148921517991,0.365667693909597,0.4638037724595542,0.6334569786893592,0.5355148921517991,0.9872396133661654,0.9811807437818878,0.4907999611617944,206.1669933795929
10,2.4471741852423235e-05,0.1701380816509172,0.3165388044045896,0.5316583640170385,0.36208083390697215,0.4533226630551879,0.6427231071350644,0.5316583640170385,0.986494682961016,0.9806072624362245,0.4909190159618599,207.11214661598206
