epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.5873991500142061,0.6791461701295813,0.254195846549334,0.1456038731760969,0.15027065160600764,0.8242053967561277,0.25419584654933397,0.9187919403548748,0.9171720543686225,0.5347359451519227,183.95327639579773
2,0.0009890738003669028,0.5128379921186407,0.7164356727989353,0.3379789743349423,0.20335421099724055,0.21521047187077266,0.7868354062113608,0.3379789743349423,0.9500044989842434,0.9472100705516582,0.5671106885565727,152.08067870140076
3,0.0009567727288213003,0.45668855908043166,0.6793882929548926,0.26491408949532164,0.1526806758624805,0.1555167811748975,0.8933013310058914,0.26491408949532164,0.9154781533127099,0.9150983537946429,0.5873748568465641,158.7653305530548
4,0.0009045084971874737,0.42671361777398986,0.5812246213153917,0.2099390867146628,0.11728041496049266,0.11787021261761188,0.9590806604116663,0.20993908671466277,0.8749335607749406,0.876374661192602,0.6693871582500568,166.24413013458252
5,0.0008345653031794292,0.3882821700578616,0.9928354983427087,0.4780005972045141,0.31406096239365217,0.3545114526357232,0.733507891483017,0.47800059720451404,0.976728718854039,0.972563327088648,0.5957455320432968,204.29787302017212
6,0.00075,0.3822605768201476,0.5350888836140535,0.3217776925232017,0.19173722759471207,0.1946655102701448,0.9272528911193542,0.32177769252320176,0.9331590346573865,0.9330578862404336,0.6954019950229983,202.27840495109558
7,0.0006545084971874737,0.3699884398512603,0.5683855509271427,0.418136787689604,0.26433182365932434,0.276390242074496,0.8583315150192742,0.41813678768960394,0.9608443896399165,0.9590887575733419,0.6735128750537477,167.76786375045776
8,0.0005522642316338268,0.36219511212691347,0.7208184719085693,0.40452201186089404,0.2535428347292402,0.27078815597523953,0.799243581351371,0.404522011860894,0.9624974812024835,0.9597016003667092,0.6302080583957766,165.65867972373962
9,0.0004477357683661734,0.35492148643168814,0.5327124184491683,0.39932865089157094,0.24947572848979663,0.2616556090995723,0.8427522001600116,0.39932865089157094,0.9585632145305785,0.9565798389668367,0.5970132976678227,162.88082456588745
10,0.0003454915028125264,0.34163930423010586,0.6354277199628402,0.44339026919149005,0.2848435676688152,0.3028471626881646,0.8273328969379591,0.44339026919148994,0.9668149852927571,0.9644262197066327,0.6691396143620103,158.5277614593506
11,0.0002500000000000001,0.34563976985964534,0.7092264345714024,0.42349398275803213,0.2686282057450801,0.2864288865858789,0.8121172448905375,0.42349398275803213,0.9647469733241917,0.9621330416932398,0.6549900125704202,162.76420068740845
12,0.00016543469682057103,0.33960716578169037,0.5360807231494359,0.43488128294825595,0.277858336374287,0.2931679095404069,0.8417921303367517,0.43488128294825595,0.9646359561355373,0.9625321368781887,0.6747587784751102,159.2113893032074
13,9.549150281252631e-05,0.3322944305121318,0.5015330382755825,0.3843406047727294,0.2378846716752854,0.24534681522509177,0.8866390282929668,0.38434060477272947,0.9524805878334793,0.9513529874840562,0.6813362826960172,160.96218371391296
