epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.4209342675480161,0.4242299534836594,0.45159868256518293,0.2916548038807735,0.31865548430321594,0.7748781729580333,0.45159868256518293,0.9711307151357236,0.9677697006536989,0.6096119915587896,258.5436363220215
2,0.0009755282581475768,0.3332256922543943,0.4375172938619341,0.29334960804712923,0.1718861750656839,0.18741615890614646,0.6747254345770601,0.2933496080471292,0.9490263817901395,0.9443287129304847,0.45714753838628963,176.42032527923584
3,0.0009045084971874736,0.22324727049671558,0.2709937488546177,0.5820628153479094,0.41049971863931767,0.6296158402436961,0.5411884500690959,0.5820628153479094,0.9944526890618921,0.9866901008450255,0.5365126026943532,183.0843575000763
4,0.0007938926261462366,0.2013023885402845,0.3184466998187863,0.4791463244525038,0.3150509034210768,0.3643540651730852,0.6995417848570805,0.47914632445250377,0.9787351390946523,0.9739536830357143,0.570977403042585,149.79940629005432
5,0.0006545084971874737,0.19300514694168933,0.33467282677183346,0.4376705349424588,0.28013971747395755,0.3275931870102079,0.6591606662302713,0.4376705349424588,0.9764253225644971,0.9709918586575255,0.524875825284177,151.9530370235443
6,0.0005,0.19158829277551434,0.3509508267957337,0.39617232037495637,0.24701676209228218,0.27729274151800515,0.6934758891555749,0.39617232037495637,0.9685071102960838,0.9637969347895409,0.5231222223071919,152.65831971168518
7,0.00034549150281252633,0.18768242076451166,0.31863370282309394,0.42845471469835844,0.2726327511562106,0.30909008927766257,0.6980144010473489,0.42845471469835844,0.9728132085108109,0.9681070133131378,0.510578512183866,152.51286363601685
8,0.0002061073738537635,0.18257097876771686,0.2980963227700214,0.4842877972748756,0.3195117096795595,0.3700487917322986,0.7005600407302349,0.48428779727487553,0.9792197620734361,0.9744474449936225,0.5410024777734361,160.4462399482727
9,9.549150281252634e-05,0.1804090937985405,0.272671625200583,0.542208629426404,0.37193842711050046,0.4612590551984491,0.6576187359080661,0.5422086294264039,0.9866165990974151,0.9809821926817602,0.5582285072040595,178.25528025627136
