epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_specificity,val_accuracy,val_pr_auc,seconds
1,0.001,0.25695655386474264,0.385224267414638,0.4081477280672452,0.2563979932457493,0.4379772583280536,0.38212233616990327,0.4081477280672452,0.9914559853599251,0.9810205576371174,0.36845354130314395,252.1431543827057
2,0.0009755282581475768,0.20945866129435373,0.3231686690632178,0.4960948957727433,0.32987114305170806,0.3768372078971617,0.7257836933595171,0.49609489577274335,0.9790872004531934,0.9747491330516581,0.5798439193236345,224.31194758415222
3,0.0009045084971874736,0.1985413793412658,0.32779598929444137,0.38823403166427284,0.24087494046369182,0.2710101586313794,0.6841661211724489,0.38823403166427284,0.9679332680241348,0.9630734813456633,0.4914516073302808,191.567777633667
4,0.0007938926261462366,0.18968576552931274,0.3145038917356608,0.5055601706096292,0.3382940956651719,0.48601454916382575,0.5267437631827769,0.5055601706096293,0.9902935999097668,0.9823548608896684,0.4769528535344617,184.3345923423767
5,0.0006545084971874737,0.18377806343948191,0.2858705450077446,0.5740714808072321,0.40259485176172755,0.6170454735504156,0.5366935777147429,0.574071480807232,0.994196183594042,0.986361009247449,0.5440301451371451,191.7597851753235
6,0.0005,0.18019786880310662,0.27082581325453153,0.5776282543056426,0.40610217128832415,0.5595478346241954,0.5969161393555895,0.5776282543056426,0.9918128625325859,0.9850498744419642,0.5831258177238338,183.86532187461853
7,0.00034549150281252633,0.17744255435014908,0.2674073800748708,0.5748259098672973,0.40333732829353736,0.576897718781592,0.5727689286493564,0.5748259098672974,0.9926804694658375,0.9854890784438776,0.5352134881308012,183.02266836166382
8,0.0002061073738537635,0.1739548693192134,0.2753553818683235,0.5487768203867627,0.37814777774774533,0.4983673130128121,0.6105316750309113,0.5487768203867627,0.9892921640367675,0.9828055245535714,0.556539369581743,185.07950162887573
9,9.549150281252634e-05,0.16940550834811277,0.276017881047969,0.5683357787281865,0.3969756108197686,0.6131139811743311,0.5296530656775038,0.5683357787281866,0.9941764134097612,0.9862210020727041,0.5347240379966439,195.8128366470337
10,2.4471741852423235e-05,0.16772908390070396,0.2670844374870767,0.5756135201796811,0.4041132995395271,0.5467729479980629,0.6076660120736054,0.5756135201796813,0.9912233054987726,0.9846545161033163,0.5764209688694796,192.0943841934204
